rank,rating,reviews,weighted_score,dist_m,price,category,title,maps_url,address,web
42,4.1,186,4.092,4878,,Gas station,Автокомплекс Max Oil,https://maps.google.com/?cid=4220456253980301659,"Aerokosmichnyi Ave, 174, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://maxoil.kharkov.ua/
43,4.1,148,4.091,4557,,Gas station,Azs Ukrhazvydobuvannya,https://maps.google.com/?cid=6306126998127255521,"Mykoly Aleksina Ln, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
44,4.1,117,4.089,962,,Gas station,AMIC Energy,https://maps.google.com/?cid=7237049615250084678,"Netichenska naberezhna, 12, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://amicenergy.com.ua/
45,4.1,91,4.086,1019,,Gas station,Glusco,https://maps.google.com/?cid=11337993157419754168,"Shevchenka St, 9 м, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
46,4.1,63,4.081,3420,,Gas station,B-Setʹ,https://maps.google.com/?cid=15456881158307628610,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
47,4.1,45,4.076,4064,,Gas station,UKRNAFTA,https://maps.google.com/?cid=6637751678447341015,"8GXRX7QQ+V3Q UKRNAFTA, Akademika Pavlova St, 44/51, Kharkiv, Kharkiv Oblast, Ukraine, 61038",https://ukrnafta.com/
48,4.1,0,0,3079,,Gas station,Okko,https://maps.google.com/?cid=8898811021899790366,"Moiseivska St, 40, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.okko.ua/
49,4.1,0,0,1691,,Gas station,B-Setʹ,https://maps.google.com/?cid=16876872429734832492,"Hrekivska St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
50,4,541,4.001,2542,,Gas station,АЗК БРСМ Нафта -Turbota Pro,https://maps.google.com/?cid=3384302235512389764,"Matyushenka St, 13, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
51,4,352,4.001,5462,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=8221195876283491019,"Derevianka St, 1в, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
52,4,223,4.002,2390,,Gas station,"Azs ""Market""",https://maps.google.com/?cid=14280991960557310562,"Kuzinska St, г. Харьков, Kharkiv Oblast, Ukraine, 61000",http://azs-market.com.ua/
53,4,63,4.005,3810,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=2471548421311255922,"Otakara Yarosha St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://socar.ua/
54,4,2,4.02,2520,,Gas station,Автостанция,https://maps.google.com/?cid=10803141469590426818,"Валерьяновская ул., 122a, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
55,4,2,4.02,8277,,Gas station,UKRNAFTA,https://maps.google.com/?cid=16243043366311914267,"8GXRX43M+63X UKRNAFTA, Novo-Bavarskyj Ave, 137-Б, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ukrnafta.com/
56,4,0,0,3066,,Gas station,Azs Ukrhazvydobuvannya,https://maps.google.com/?cid=6907024324414069311,"Chuhuivs'ka St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
57,3.9,328,3.907,2825,,Gas station,MARSHAL,https://maps.google.com/?cid=5236263358548339827,"Hryhoriia Skovorody St, 85, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://marshal.ua/
58,3.9,147,3.915,1883,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=877647993057081962,"Velyka Panasivska St, 82а, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
59,3.9,73,3.926,2792,,Gas station,AMIC Energy,https://maps.google.com/?cid=11204327297965690000,"Heroiv Kharkova Ave, 137А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://amicenergy.com.ua/
60,3.9,70,3.927,7281,,Gas station,Б-Сеть,https://maps.google.com/?cid=16246309651317052998,"Kharkivske Hwy, 27, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
61,3.8,72,3.848,993,,Gas station,АЗС Brent Oil,https://maps.google.com/?cid=7980643908306480341,"Mar'ins'ka St, 2, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.brentoil.ua/
62,3.7,207,3.728,6371,,Gas station,WOG,https://maps.google.com/?cid=14456035688787865078,"Aerokosmichnyi Ave, 183-А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
63,3.7,117,3.747,1143,,Gas station,АЗК БРСМ Нафта - Turbota Pro,https://maps.google.com/?cid=10587929367178789066,"Klochkivska St, 67, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://brsm-nafta.com/
64,3.7,19,3.865,2155,,Gas station,Сто,https://maps.google.com/?cid=13657552981545310733,"Velyka Honcharivs'ka St, 32А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://xn--80ae0bp.xn--b1afk4ade.xn--j1amh/
65,3.7,17,3.874,5066,,Gas station,АЗС Гюди,https://maps.google.com/?cid=13530852372903584603,"Grygorivske Rd, 92, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
66,3.6,113,3.663,1964,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=2782113345815446253,"Klochkivska St, 134-а, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
67,3.4,31,3.644,4848,,Gas station,Максоил Азс,https://maps.google.com/?cid=6370836638699889045,"Aerokosmichnyi Ave, 166, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
68,3.4,18,3.727,2181,,Gas station,Okko,https://maps.google.com/?cid=5838276501989503309,"Poltavskyi Shliakh St, 79, Kharkiv, Kharkiv Oblast, Ukraine, 61093",https://www.okko.ua/
69,3.4,5,3.898,1023,,Gas station,АЗС Овис,https://maps.google.com/?cid=9793784079510912406,"улица Тараса Шевченко, 9, Kharkiv, Kharkiv Oblast, Ukraine, 61013",https://ovis.ua/
70,3.3,31,3.583,6568,,Gas station,Автозаправка,https://maps.google.com/?cid=17060419380524131653,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
71,3.3,15,3.713,3905,,Gas station,Ukrhazvydobuvannya,https://maps.google.com/?cid=17594100722533701628,"Aerokosmichnyi Ave, 127a, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
72,3.3,3,3.928,2258,,Gas station,UKRNAFTA,https://maps.google.com/?cid=12060915222370644086,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
73,3,13,3.619,5900,,Gas station,Grand,https://maps.google.com/?cid=7274874279795667860,"Шевченко, 327а, 61070, Shevchenka St, Kharkiv, Ukraine, 61000",
74,3,5,3.818,2524,,Gas station,"Автомойка, АЗС, Офис на Матюшенко 13",https://maps.google.com/?cid=6981487297346127080,"Petropavlivska St, 28, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
75,3,2,3.929,1041,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=4293950938104908689,"Netichenska naberezhna, 13, Kharkiv, Kharkiv Oblast, Ukraine, 61004",https://socar.ua/
76,3,2,3.929,2897,,Gas station,UKRNAFTA,https://maps.google.com/?cid=7129328765585273846,"Aerokosmichnyi Ave, 49, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ukrnafta.com/
77,3,2,3.929,1768,,Gas station,Expogas,https://maps.google.com/?cid=6030485197669558055,"Ryzhivska St, 7, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
78,1.2,6,3.371,3752,,Gas station,UKRNAFTA,https://maps.google.com/?cid=8001210560984671649,"Dudynskoii St, 42, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ukrnafta.com/
79,1,1,3.878,2642,,Gas station,АЗС ОВИС бухгалтерия,https://maps.google.com/?cid=4084835989595645836,"Kosmichna St, 21, оф. 603-607, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
80,0,0,0,3064,,Gas station,UKRNAFTA,https://maps.google.com/?cid=10197792276719937637,"Chuhuivs'ka St, 76, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ukrnafta.com/
81,0,0,0,1967,,Gas station,Radana oil,https://maps.google.com/?cid=7045916895790057993,"Myronosytska St, 64, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000",
82,0,0,0,2586,,Gas station,STE OIL Украина,https://maps.google.com/?cid=2546049318272912919,"Sumska St, 79, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
83,0,0,0,3591,,Gas station,КУБ-ГАЗ,https://maps.google.com/?cid=10842777827919953473,"Heroiv Kharkova Ave, 179б, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://kub-gas.com.ua/
84,0,0,0,1677,,Gas station,SC Formula,https://maps.google.com/?cid=16641303725508489742,"Yaroslava Mudrogo St, 12-14, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://scformula.ua/en/regional_offices
85,0,0,0,2909,,Gas station,Парикмахер,https://maps.google.com/?cid=335432043507120275,"Aerokosmichnyi Ave, 49, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
86,0,0,0,1723,,Gas station,"Вода грн/л, без карты",https://maps.google.com/?cid=3540881235905677829,"Yaroslava Mudrogo St, 4, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
87,0,0,0,3420,,Gas station,Top OIL,https://maps.google.com/?cid=17323919715085764158,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
88,0,0,0,1725,,Gas station,Depo Sto,https://maps.google.com/?cid=7558160673455998051,"Rubanivskyj Ln, 2, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
89,0,0,0,4260,,Gas station,Karlivka,https://maps.google.com/?cid=114423354487690476,"Poltavskyi Shliakh St, 167-а, Kharkiv, Kharkivs'ka oblast, Ukraine, 39500",
90,0,0,0,1722,,Electric vehicle charging station,AE Charging Station,https://maps.google.com/?cid=17009007407176103647,"вул. Мало - Гончарівська, 17, Kharkiv, Kharkiv Oblast, Ukraine, 61093",https://www.autoenterprise.com.ua/
91,0,0,0,3463,,Gas station,ТОВ ІНКТЕХ,https://maps.google.com/?cid=2359234088700577425,"Vulytsya Virynsʹka, 28a, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
92,0,0,0,3787,,Gas station,GFIGAS,https://maps.google.com/?cid=13970561680110362444,"Pol'ova St, 140, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://gfigas.com.ua/
93,0,0,0,3181,,Gas station,Автостоянка,https://maps.google.com/?cid=9326539047699332856,"Parking lot, Moskalivska St, 126, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
94,0,0,0,3351,,Gas station,Brent Oil,https://maps.google.com/?cid=17755882153024912442,"Vulytsya Virynsʹka, 28a, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
95,0,0,0,4664,,Gas station,EuroPump,https://maps.google.com/?cid=4551764471703934276,"Rajevskoj St, 25, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
96,0,0,0,3966,,Gas station,СТО йцукенг,https://maps.google.com/?cid=6511962895708771520,"Sydorenkivska St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
97,0,0,0,5344,,Gas station,Укрнафта,https://maps.google.com/?cid=9324367060438049641,"Heroiv Kharkova Ave, 199 д5, Kharkiv, Kharkiv Oblast, Ukraine, 61037",https://b2b.ukrnafta.com/
98,0,0,0,3984,,Gas station,Avtostoyanka,https://maps.google.com/?cid=15985474240287642930,"Otakara Yarosha St, 11А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
99,0,0,0,6500,,Gas station,"Приватне акціонерне товариство ""ГОНГ""",https://maps.google.com/?cid=4216516244958536959,"Kostiantyna Kalinina St, 31, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://gong.kh.ua/contacts/
